High,Low,Open,Close,Volume,Adj Close,Label
25.0,17.540000915527300,19.0,23.889999389648400,18766300,23.889999389648400,1
30.420000076293900,23.299999237060500,25.790000915527300,23.829999923706100,17187100,23.829999923706100,1
25.920000076293900,20.270000457763700,25.0,21.959999084472700,8218800,21.959999084472700,1
23.100000381469700,18.709999084472700,23.0,19.200000762939500,5139800,19.200000762939500,1
20.0,15.829999923706100,20.0,16.110000610351600,6866900,16.110000610351600,1
16.6299991607666,14.979999542236300,16.399999618530300,15.800000190734900,6921700,15.800000190734900,1
17.520000457763700,15.569999694824200,16.139999389648400,17.459999084472700,7711400,17.459999084472700,1
17.899999618530300,16.549999237060500,17.579999923706100,17.399999618530300,4050600,17.399999618530300,1
18.06999969482420,17.0,17.950000762939500,17.049999237060500,2202500,17.049999237060500,1
18.639999389648400,16.899999618530300,17.389999389648400,18.139999389648400,2680100,18.139999389648400,1
20.149999618530300,17.760000228881800,17.940000534057600,19.84000015258790,4195200,19.84000015258790,1
21.5,19.0,19.940000534057600,19.889999389648400,3739800,19.889999389648400,1
21.299999237060500,20.049999237060500,20.700000762939500,20.639999389648400,2621300,20.639999389648400,1
22.25,20.920000076293900,21.3700008392334,21.90999984741210,2486500,21.90999984741210,1
21.850000381469700,20.049999237060500,21.850000381469700,20.299999237060500,1825300,20.299999237060500,1
20.899999618530300,19.5,20.65999984741210,20.219999313354500,1252500,20.219999313354500,1
21.25,20.3700008392334,20.5,21.0,957800,21.0,1
21.559999465942400,21.059999465942400,21.190000534057600,21.290000915527300,653600,21.290000915527300,1
21.5,20.299999237060500,21.5,20.950000762939500,922200,20.950000762939500,1
21.18000030517580,20.260000228881800,20.90999984741210,20.549999237060500,619700,20.549999237060500,1
20.899999618530300,20.510000228881800,20.549999237060500,20.719999313354500,467200,20.719999313354500,1
20.8799991607666,20.0,20.770000457763700,20.350000381469700,616000,20.350000381469700,1
20.440000534057600,19.549999237060500,20.200000762939500,19.940000534057600,426900,19.940000534057600,1
20.969999313354500,20.329999923706100,20.5,20.920000076293900,718100,20.920000076293900,1
21.950000762939500,20.81999969482420,21.0,21.950000762939500,1230500,21.950000762939500,1
22.18000030517580,20.850000381469700,21.950000762939500,21.260000228881800,913000,21.260000228881800,1
21.549999237060500,20.049999237060500,21.540000915527300,20.450000762939500,796200,20.450000762939500,1
20.15999984741210,19.520000457763700,20.100000381469700,19.59000015258790,741900,19.59000015258790,1
19.979999542236300,19.450000762939500,19.899999618530300,19.600000381469700,812700,19.600000381469700,1
19.649999618530300,18.81999969482420,19.649999618530300,19.030000686645500,1281300,19.030000686645500,1
18.8799991607666,17.850000381469700,18.690000534057600,17.899999618530300,797600,17.899999618530300,1
17.899999618530300,17.389999389648400,17.799999237060500,17.600000381469700,691000,17.600000381469700,1
18.450000762939500,17.65999984741210,18.18000030517580,18.31999969482420,634000,18.31999969482420,1
18.799999237060500,18.260000228881800,18.450000762939500,18.780000686645500,485800,18.780000686645500,1
19.399999618530300,18.780000686645500,18.959999084472700,19.149999618530300,447900,19.149999618530300,1
19.59000015258790,18.600000381469700,19.59000015258790,18.770000457763700,601300,18.770000457763700,1
19.25,18.329999923706100,18.540000915527300,18.790000915527300,579100,18.790000915527300,1
19.110000610351600,18.510000228881800,18.649999618530300,19.100000381469700,296000,19.100000381469700,1
20.389999389648400,19.0,19.09000015258790,20.1299991607666,1088100,20.1299991607666,1
19.709999084472700,18.950000762939500,19.25,19.200000762939500,673100,19.200000762939500,1
19.979999542236300,18.559999465942400,19.15999984741210,19.899999618530300,503300,19.899999618530300,1
20.270000457763700,19.600000381469700,19.889999389648400,19.75,433800,19.75,1
19.8700008392334,19.5,19.75,19.700000762939500,379600,19.700000762939500,1
20.190000534057600,19.610000610351600,19.700000762939500,19.8700008392334,732800,19.8700008392334,1
19.790000915527300,19.329999923706100,19.65999984741210,19.479999542236300,201100,19.479999542236300,1
20.690000534057600,19.600000381469700,19.6200008392334,20.450000762939500,494900,20.450000762939500,1
21.239999771118200,20.309999465942400,20.3700008392334,21.059999465942400,487100,21.059999465942400,1
21.299999237060500,20.65999984741210,20.8700008392334,21.049999237060500,434600,21.049999237060500,1
21.0,20.5,20.610000610351600,20.540000915527300,243400,20.540000915527300,1
20.950000762939500,20.600000381469700,20.65999984741210,20.899999618530300,288400,20.899999618530300,1
21.049999237060500,20.690000534057600,21.0,20.709999084472700,376200,20.709999084472700,1
20.93000030517580,19.760000228881800,20.75,20.170000076293900,386600,20.170000076293900,1
20.899999618530300,20.5,20.889999389648400,20.719999313354500,360800,20.719999313354500,1
21.600000381469700,20.530000686645500,20.540000915527300,21.1200008392334,654700,21.1200008392334,1
22.0,20.790000915527300,20.979999542236300,21.979999542236300,684600,21.979999542236300,1
23.15999984741210,20.84000015258790,22.149999618530300,20.940000534057600,2684500,20.940000534057600,1
21.31999969482420,19.799999237060500,21.020000457763700,20.229999542236300,1198500,20.229999542236300,1
21.350000381469700,20.15999984741210,20.670000076293900,21.059999465942400,947500,21.059999465942400,1
21.549999237060500,20.670000076293900,20.889999389648400,20.770000457763700,796000,20.770000457763700,1
20.950000762939500,19.799999237060500,20.8700008392334,19.8700008392334,962900,19.8700008392334,1
20.139999389648400,19.5,19.889999389648400,19.559999465942400,668100,19.559999465942400,1
20.190000534057600,19.649999618530300,19.950000762939500,20.100000381469700,578900,20.100000381469700,1
20.809999465942400,20.049999237060500,20.399999618530300,20.530000686645500,418600,20.530000686645500,1
21.489999771118200,20.760000228881800,21.040000915527300,21.399999618530300,1214500,21.399999618530300,1
